"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R75,R494,R886,R569,R118,R854,R598,R963,R253,R107,R273,R406,R763,R776,R369,R759,R165,R831,R942,R504,R702,R671,R520,R289,R29,R27,R266,R770,R930,R875,R96,R143,R112,R310,R400,R150,R567,R463,R575,R452,R982,R986,R547,R548,R516,R920,R274,R203,R775,R14,R629,R663,R960,R758,R656,R47,R74,R446,R603,R55,R857,R372,R917,R921,R968,R910,R543,R299,R458,R424,R76,R571,R555,R432,R601,R585,R574,R560,R298,R866,R587,R386,R23,R148,R363,R964,R944,R893,R752,R127,R30,R393,R359,R108,R725,R34,R975,R608,R639,R881,R333,R37,R409,R641,R878,R892,R347,R136,R378,R404,R709,R979,R690,R381,R291,R36,R655,R748,R932,R398,R39,R814,R278,R536,R156,R798,R128,R83,R909,R613,R913,R704,R172,R630,R508,R228,R396,R342,R795,R64,R318,R471,R784,R66,R420,R440,R594,R895,R640,R801,R154,R102,R63,R12,R374,R631,R319,R846,R779,R805,R100,R644,R237,R989,R635,R455,R202,R980,R472,R9,R415,R371,R28,R861,R590,R879,R721,R703,R934,R896,R856,R247,R57,R480,R22,R679,R243,R906,R414,R923,R441,R729,R819,R135,R373,R817,R283,R419,R197,R891,R474,R643,R264,R209,R859,R757,R166,R903,R661,R541,R18,R498,R834,R525,R307,R413,R916,R269,R684,R469,R802,R840,R871,R816,R391,R919,R323,R606,R346,R739,R332,R728,R73,R554,R782,R586,R531,R841,R477,R844,R883,R433,R810,R922,R358,R970,R354,R69,R169,R961,R771,R744,R436,R185,R812,R682,R836,R967,R115,R738,R652,R183,R122,R956,R595,R870,R355,R99,R505,R622,R482,R62,R53,R988,R621,R731,R688,R927,R720,R211,R897,R84,R478,R158,R935,R957,R181,R380,R628,R750,R49,R325,R153,R401,R134,R540,R697,R676,R68,R149,R559,R280,R715,R825,R300,R880,R950,R749,R959,R954,R467,R604,R226,R939,R562,R81,R528,R915,R506,R111,R104,R147,R953,R742,R292,R486,R220,R184,R408,R397,R723,R412,R2,R804,R865,R946,R969,R633,R447,R223,R320,R271,R615,R117,R730,R693,R716,R263,R625,R212,R552,R815,R361,R863,R945,R352,R196,R90,R199,R890,R353,R417,R317,R668,R94,R821,R290,R938,R670,R351,R885,R936,R251,R444,R648,R539,R818,R435,R908,R517,R338,R8,R82,R736,R262,R527,R912,R246,R217,R345,R485,R215,R768,R793,R515,R973,R813,R365,R809,R882,R130,R495,R224,R576,R126,R309,R201,R696,R514,R900,R155,R602,R579,R683,R272,R252,R306,R296,R787,R948,R157,R674,R858,R958,R20,R888,R894,R851,R46,R928,R978,R623,R513,R35,R427,R549,R315,R929,R577,R966,R177,R131,R582,R326,R89,R95,R889,R864,R826,R803,R238,R850,R712,R796,R192,R297,R379,R40,R479,R777,R41,R868,R431,R570,R162,R4,R337,R532,R445,R93,R985,R161,R550,R85,R669,R849,R675,R58,R823,R285,R144,R225,R581,R566,R869,R284,R853,R350,R589,R109,R61,R142,R493,R624,R176,R500,R797,R67,R521,R677,R722,R874,R658,R120,R175,R907,R316,R835,R257,R399,R847,R873,R171,R31,R976,R714,R593,R388,R848,R706,R933,R116,R984,R382,R790,R987,R977,R568,R88,R860,R164,R15,R208,R7,R561,R766,R937,R949,R204,R191,R737,R685,R256,R829,R219,R687,R489,R163,R941,R460,R620,R666,R392,R1,R26,R778,R783,R434,R924,R13,R842,R580,R48,R542,R462,R845,R535,R129,R724,R662,R50,R741,R649,R459,R487,R756,R904,R701,R785,R534,R244,R636,R360,R245,R407,R387,R705,R607,R3,R311,R647,R833,R45,R820,R711,R331,R239,R898,R843,R336,R42,R877,R852,R461,R468,R137,R418,R918,R230,R189,R827,R258,R717,R926,R642,R974,R282,R473,R733,R832,R774,R235,R650,R972,R250,R981,R553,R428,R667,R962,R698,R965,R634,R660,R207,R466,R236,R507,R312,R54,R792,R914,R451,R190,R755,R450,R101,R764,R218,R901,R925,R242,R170,R80,R288,R453,R261,R390,R91,R769,R324,R305,R145,R902,R512,R905,R867,R971,R426,R198,R990,R837,R270,R596,R887,R509,R952,R182,R344,R454,R689,R617,R72,R751,R609,R824,R616,R943,R732,R343,R328,R838,R951,R234,R612,R765,R710,R597,R19,R806,R743,R216,R544,R839,R366,R255,R442,R558,R103,R862,R229,R293,R385,R231,R651,R884,R121,R481,R523,R822,R188,R301,R828,R339,R876,R174,R872,R364,R855,R522,R533,R439,R277,R760,R334,R811,R588,R563,R947,R791,R327,R657,R694,R10,R425,R210,R955,R614,R265,R983,R193,R377,R423,R180,R370,R911,R496,R830,R940,R138,R931,R490,R899,R501,R110,R488,R279,R678,R747,R499,R139,R56,R786,R123,R21,R526,R304,R405,R695,R77";"R_0201_0603Metric";780;"1k";;;
2;"U27,U83,U118,U104,U35,U72,U59,U64,U80,U34,U29,U119,U66,U60,U85,U22,U51,U67,U33,U108,U48,U18,U95,U26,U19,U4,U36,U46,U78,U109,U62,U49,U56,U96,U58,U54,U43,U63,U17,U97,U11,U8,U106,U9,U10,U93,U102,U70,U76,U6,U16,U110,U75,U40,U45,U28,U30,U13,U86,U12,U65,U74,U116,U47,U31,U117,U100,U20,U103,U14,U21,U101,U57,U7,U82,U24,U25,U41,U37,U71,U3,U98,U39,U90,U107,U112,U50,U94,U92,U69,U89,U15,U77,U32,U111,U73,U87,U23,U91,U79,U121,U115,U81,U53,U68,U2,U99,U38,U88,U5,U113,U105,U114,U44,U84,U52,U42,U120,U55,U61";"Texas_S-PX2QFN-14";120;"TLV9004xRUCR";;;
3;"R557,R322,R502,R259,R592,R410,R241,R375,R610,R141,R572,R637,R422,R457,R43,R546,R232,R268,R646,R125,R761,R664,R295,R313,R124,R248,R24,R762,R179,R383,R781,R133,R395,R618,R808,R222,R429,R240,R700,R32,R33,R708,R267,R275,R71,R718,R638,R411,R692,R492,R799,R97,R221,R510,R680,R449,R564,R160,R437,R16,R530,R707,R87,R475,R357,R356,R213,R600,R538,R456,R529,R545,R340,R746,R734,R79,R132,R341,R727,R233,R511,R699,R556,R591,R735,R329,R654,R476,R330,R286,R151,R321,R376,R672,R464,R719,R106,R260,R565,R294,R70,R807,R167,R98,R214,R194,R611,R159,R483,R314,R205,R348,R105,R673,R402,R52,R394,R25,R800,R302,R491,R51,R384,R195,R484,R691,R178,R645,R5,R349,R403,R186,R303,R60,R619,R465,R114,R518,R772,R726,R430,R421,R681,R599,R537,R627,R249,R367,R44,R86,R59,R754,R789,R519,R168,R780,R753,R788,R368,R665,R653,R773,R206,R140,R503,R438,R583,R6,R276,R78,R448,R152,R745,R573,R287,R113,R626,R17,R584,R187";"R_0201_0603Metric";180;"200k";;;
4;"Q14,Q13,Q5,Q39,Q62,Q23,Q80,Q78,Q33,Q82,Q48,Q74,Q67,Q58,Q76,Q54,Q53,Q22,Q81,Q37,Q12,Q55,Q45,Q90,Q73,Q43,Q21,Q75,Q89,Q64,Q26,Q87,Q31,Q8,Q70,Q16,Q30,Q44,Q4,Q65,Q20,Q57,Q9,Q2,Q41,Q36,Q38,Q79,Q72,Q59,Q6,Q56,Q7,Q52,Q11,Q24,Q32,Q85,Q3,Q47,Q15,Q60,Q28,Q25,Q34,Q50,Q18,Q29,Q35,Q71,Q61,Q46,Q84,Q83,Q1,Q88,Q51,Q40,Q68,Q86,Q10,Q69,Q49,Q63,Q17,Q42,Q77,Q66,Q27,Q19";"SOIC-8_3.9x4.9mm_P1.27mm";90;"IRF7324";;;
5;"D13,D27,D36,D2,D16,D55,D20,D1,D54,D9,D34,D59,D48,D42,D41,D28,D29,D24,D12,D52,D22,D31,D40,D8,D17,D23,D25,D43,D45,D50,D37,D30,D44,D4,D56,D38,D39,D19,D49,D26,D57,D18,D15,D7,D32,D53,D46,D35,D51,D3,D47,D33,D58,D21,D6,D5,D11,D10,D60,D14";"D_0201_0603Metric";60;"D";;;
6;"U146,U250,U266,U193,U204,U289,U235,U214,U200,U279,U222,U136,U172,U141,U296,U158,U147,U298,U165,U247,U221,U287,U227,U186,U124,U248,U243,U230,U151,U175,U253,U179,U282,U176,U139,U267,U162,U159,U206,U252,U166,U215,U255,U198,U272,U195,U268,U283,U170,U239,U148,U144,U269,U126,U228,U203,U173,U128,U178,U244,U290,U157,U229,U297,U224,U142,U164,U138,U280,U180,U245,U177,U274,U131,U246,U169,U199,U299,U129,U208,U261,U273,U125,U233,U284,U270,U278,U241,U190,U161,U155,U225,U259,U275,U192,U134,U207,U281,U127,U202,U217,U242,U135,U209,U210,U152,U251,U254,U234,U257,U294,U213,U277,U301,U174,U218,U194,U231,U156,U140,U262,U295,U188,U132,U185,U168,U211,U264,U226,U288,U149,U219,U163,U258,U285,U143,U150,U292,U183,U184,U191,U216,U286,U205,U182,U171,U237,U249,U212,U196,U123,U265,U145,U260,U223,U181,U271,U238,U276,U300,U293,U197,U133,U263,U232,U236,U167,U302,U256,U160,U154,U240,U291,U137,U220,U189,U153,U201,U130,U187";"SOIC-8_3.9x4.9mm_P1.27mm";180;"MCP41050";;;
7;"R659,R173,R767,R416,R146,R254,R713,R605,R578,R281,R997,R119,R11,R65,R686,R632,R497,R335,R794,R92,R200,R308,R551,R389,R362,R524,R740,R443,R470,R227,R38";"R_0201_0603Metric";31;"100k";;;
8;"C34,C52,C43,C55,C58,C46,C31,C13,C16,C19,C10,C25,C61,C82,C70,C37,C88,C64,C28,C40,C1,C67,C4,C49,C76,C79,C22,C85,C73,C7";"C_0201_0603Metric";30;"4.7u";;;
9;"C66,C78,C45,C69,C6,C21,C42,C57,C18,C63,C33,C12,C75,C39,C9,C36,C84,C54,C81,C27,C15,C98,C60,C97,C72,C51,C30,C3,C90,C48,C24,C87";"C_0201_0603Metric";32;"0.1u";;;
10;"C68,C44,C17,C50,C89,C26,C86,C71,C38,C5,C14,C41,C20,C80,C62,C53,C47,C32,C23,C77,C65,C74,C29,C35,C59,C83,C2,C8,C11,C56";"C_0201_0603Metric";30;"47u";;;
11;"SW1";"PinHeader_1x03_P1.00mm_Vertical";1;"SW_SPDT";;;
12;"U303,U309,U304,U306,U311,U314,U308,U310,U312,U307,U305,U313,U315";"SSOP-24_5.3x8.2mm_P0.65mm";13;"CD74HC4067SM";;;
13;"J2";"PinHeader_1x05_P1.00mm_Vertical";1;"Conn_01x05_Male";;;
14;"J1";"PinHeader_1x04_P1.00mm_Vertical";1;"Conn_01x04_Male";;;
15;"J4";"PinHeader_1x06_P1.00mm_Vertical";1;"Conn_01x06_Male";;;
16;"J3";"PinHeader_1x36_P1.00mm_Vertical";1;"Conn_01x36_Male";;;
17;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F030CCTx";;;
